obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""""","=""""","=""365.61134""","=""0.00013""","=""""","=""8.7206e+01""",AAA,"=""82259.158""","=""[109602.8177]""","=""2""","=""""","=""""","=""38""","=""""","=""""",,"=""T8637""","=""""",
"=""365.665""","=""0.003""","=""365.66698""","=""0.00019""","=""700""","=""9.9657e+01""",AAA,"=""82259.158""","=""[109598.6566]""","=""2""","=""""","=""""","=""37""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""365.725""","=""0.003""","=""365.72735""","=""0.00019""","=""700""","=""1.1430e+02""",AAA,"=""82259.158""","=""[109594.1439]""","=""2""","=""""","=""""","=""36""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""365.804""","=""0.010""","=""365.79299""","=""0.00019""","=""700bl""","=""1.3161e+02""",AAA,"=""82259.158""","=""[109589.2390]""","=""2""","=""""","=""""","=""35""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""365.865""","=""0.003""","=""365.86453""","=""0.00019""","=""700""","=""1.5216e+02""",AAA,"=""82259.158""","=""[109583.8949]""","=""2""","=""""","=""""","=""34""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""365.941""","=""0.003""","=""365.94271""","=""0.00019""","=""700""","=""1.7669e+02""",AAA,"=""82259.158""","=""[109578.0577]""","=""2""","=""""","=""""","=""33""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.032""","=""0.010""","=""366.02837""","=""0.00019""","=""700bl""","=""2.0612e+02""",AAA,"=""82259.158""","=""[109571.6647]""","=""2""","=""""","=""""","=""32""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.127""","=""0.003""","=""366.12249""","=""0.00019""","=""800""","=""2.4162e+02""",AAA,"=""82259.158""","=""[109564.6431]""","=""2""","=""""","=""""","=""31""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.222""","=""0.010""","=""366.22625""","=""0.00019""","=""1100bl""","=""2.8474e+02""",AAA,"=""82259.158""","=""[109556.9077]""","=""2""","=""""","=""""","=""30""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.341""","=""0.010""","=""366.34098""","=""0.00019""","=""900bl""","=""3.3742e+02""",AAA,"=""82259.158""","=""[109548.3584]""","=""2""","=""""","=""""","=""29""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.465""","=""0.010""","=""366.46831""","=""0.00019""","=""1000bl""","=""4.0224e+02""",AAA,"=""82259.158""","=""[109538.8768]""","=""2""","=""""","=""""","=""28""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.608""","=""0.003""","=""366.61016""","=""0.00019""","=""900""","=""4.8261e+02""",AAA,"=""82259.158""","=""[109528.3223]""","=""2""","=""""","=""""","=""27""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.773""","=""0.003""","=""366.76881""","=""0.00019""","=""1000""","=""5.8304e+02""",AAA,"=""82259.158""","=""[109516.5267]""","=""2""","=""""","=""""","=""26""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""366.945""","=""0.003""","=""366.94705""","=""0.00019""","=""1300""","=""7.0963e+02""",AAA,"=""82259.158""","=""[109503.2875]""","=""2""","=""""","=""""","=""25""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""367.132""","=""0.010""","=""367.14823""","=""0.00019""","=""1200bl""","=""8.7069e+02""",AAA,"=""82259.158""","=""[109488.3592]""","=""2""","=""""","=""""","=""24""","=""""","=""""",,"=""T8637""","=""L7400c29""",
"=""367.381""","=""0.003""","=""367.37649""","=""0.00019""","=""1300""","=""1.0777e+03""",AAA,"=""82259.158""","=""[109471.4416]""","=""2""","=""""","=""""","=""23""","=""""","=""""",,"=""T8637""","=""L7400c29""",
